ID,answer
TEST_000,D
TEST_001,C
TEST_002,A
TEST_003,D
TEST_004,C
TEST_005,C
TEST_006,A
TEST_007,D
TEST_008,D
TEST_009,A
TEST_010,A
TEST_011,B
TEST_012,C
TEST_013,?
TEST_014,A
TEST_015,D
TEST_016,D
TEST_017,B
TEST_018,B
TEST_019,D
TEST_020,A
TEST_021,D
TEST_022,A
TEST_023,A
TEST_024,D
TEST_025,D
TEST_026,A
TEST_027,A
TEST_028,D
TEST_029,B
TEST_030,B
TEST_031,D
TEST_032,A
TEST_033,C
TEST_034,D
TEST_035,D
TEST_036,B
TEST_037,A
TEST_038,A
TEST_039,B
TEST_040,?
TEST_041,D
TEST_042,C
TEST_043,D
TEST_044,B
TEST_045,D
TEST_046,D
TEST_047,A
TEST_048,D
TEST_049,A
TEST_050,D
TEST_051,A
TEST_052,D
TEST_053,A
TEST_054,C
TEST_055,D
TEST_056,D
TEST_057,B
TEST_058,D
TEST_059,D
